ID	DESCRIPTION	VALUATION A	HAPPINESS A	TIME A	VALUATION B	HAPPINESS B	TIME B
1	We just reached 1000 paying customers.	2	5	0	2	5	0
2	Slack is down.	0	-1	-1	0	2	-1
3	Github is down.	0	-1	-1	0	2	-1
4	We should rewrite everything in PHP.	0	-2	-1	0	0	0
5	A lot of time has elapsed, but still no MVP. Maybe PHP wasn't the way to go...	-5	-3	-3	-5	-3	-3
6	We need a Terms of Service.	1	0	-1	1	-1	-3
7	Office morale is down.	0	5	-1	-1	5	0
8	The binge lasts for a week. A prostitute is found dead.	-5	0	-1	-5	0	-1
9	We need to hire a product manager. Which one do you choose?	3	-3	-1	0	0	-3
10	Our competitor just filed their IPO.	-4	2	-1	-2	-1	-1
11	New hiring software is available for $40 a month.	0	1	-3	0	-1	-1
12	Someone posted a nasty tweet about our company.	1	2	-3	-1	-2	-1
13	One of our employees left their unlocked phone at a bar. This is a serious security breach	-2	0	-2	0	0	0
14	We've been working on a mobile app for 3 months but it's still not ready.	-3	-2	0	-1	2	-3
15	I want to invest in your company and I want 40%.	-3	2	-1	2	-2	-1
16	I wanna invest in your startup - but you have to step down as CEO.	-2	3	-1	2	-3	-2
17	You step down and become "Chief Happiness Officer".	2	-1	0	2	-1	0
18	A Google algorithm update killed our website rank!	2	0	-2	-2	-2	-1
19	I want to use your blood in my longevity experiment in exchange for investment.	3	-2	-2	-2	2	-1
20	A famous CEO will be your mentor if you have sex with them.	4	-3	-2	-2	3	0
21	Users are complaining about one of our rude support employees.	2	-2	-2	-1	3	0
22	Your best friend just got an MBA and wants to join your company in BizDev.	-1	2	-4	0	-3	0
23	It's time to scale up! We need five new people.	4	-2	-4	1	2	0
24	Huffington Post wants to publish an article about you.	3	3	-4	0	-2	0
25	Huffington Post published an article calling you a moron	-2	0	0	-2	0	0
26	I would like to know your pricing strategy.	-5	-2	0	2	1	0
27	Where should we build our new HQ?	4	-2	-2	-2	4	0
28	I want to be a digital nomad and work remotely from Bangkok.	0	-4	0	-3	5	0
29	We're buried under paperwork! What should we do?	-2	3	0	0	-2	-3
30	It's the middle of the night and the site is down!	0	-2	-5	0	2	0
31	The market is turning! Should we adapt our business plan?	3	-2	-3	-2	2	0
32	Your pivot isn't working out.	1	0	0	-1	2	-1
33	I'm getting married and I want 2 months off.	-2	3	-4	0	-3	0
34	I quit.	-1	1	-1	0	-2	-1
35	I want a $10,000 raise or I'll quit.	-2	4	0	2	-2	-3
36	I'm looking around for a new job.	0	1	-1	0	-3	0
37	I've found a better paying job. kthxbye	-5	-2	-3	-5	-2	-3
38	Our biggest customer just cancelled their subscription.	0	-3	-2	-3	5	-2
39	Cash flow is down and you're too busy pinching pennies to look for a new funding round.	3	-4	-2	0	-5	-2
40	I need more leads, chief!	-2	0	-2	3	3	-3
41	A competitor has copied our best feature!	-4	0	-5	-1	2	0
42	We know that there's this important deadline coming up but it's Thanksgiving and we want to go home.	-3	5	-4	4	-4	0
43	Your employees want a fancy new coffee machine.	-1	3	-1	0	-5	0
44	Your employees want health insurance.	-2	4	-3	3	-5	0
45	Your company offers no health insurance. 2 employees just died of Pneumonia.	-5	-5	-5	-5	-5	-5
46	Your company still offers no health insurance. An employee just died of Syphilis.	-5	-5	-5	-5	-5	-5
47	Your mom offers to do your accounting.	-2	3	-4	2	-2	0
48	I know it's kinda late, but can we change the platform?	-4	2	-5	3	-5	0
49	The codebase is a mess and we're fighting the platform every inch of the way...	2	-2	-1	-1	2	-5
50	Thanks for letting us switch platforms. The rewrite is coming along really well!	4	4	-1	4	5	-1
51	Your sister just had a baby - 3000 miles from here.	-3	2	-5	3	-2	0
52	Zesty offers you a deal to cater lunches to your office, for a mere $200 a day!	-2	4	0	2	-5	0
53	500 Startups wants you to become a mentor.	3	-2	-5	-1	2	0
54	I've adopted a baby chimp. Can I bring it to the office?	0	3	-4	2	-5	0
55	You've been completely ignoring us for the past month and we're really pissed off.	4	-5	-5	-5	3	0
56	You can't ignore us forever.	1	1	-4	-2	0	0
57	Another app with the same name just appeared. Apparently they have a trademark and everything...	-2	-5	-3	-5	-2	-5
58	I'm having trouble finding employees...	-2	4	-5	-5	-2	0
59	You remember you have a pitch coming up early tomorrow morning, right?	-2	-3	0	2	-2	-3
60	You stayed up late preparing. You overslept and missed the presentation.	0	0	-3	0	0	-1
61	A former employee is bashing you in a Medium post.	-2	-1	-3	-4	-3	-1
62	We need a theme for the office party.	-3	4	-1	-1	2	-2
63	We need extra marketing resources for the product launch.	-4	-3	0	0	0	-5
64	TechCrunch Disrupt is next week - are you coming?	-2	2	0	3	-2	-4
65	One of our account managers just told a client to eat dog shit...	3	-3	0	-2	2	-3
66	A local podcast wants to do a 3 hour interview with you.	1	-2	-5	0	2	-1
67	Transparency is so hot right now - can I do a blog post about our growth data?	-2	2	-3	0	-1	0
68	Your significant other is having an affair with one of your investors.	-4	3	-3	2	1	-1
69	Another startup wants to hire you for consulting.	0	2	0	2	-2	-3
70	The cops busted our Christmas party - seems there was something special in the punch.	-2	-3	-5	-3	2	-1
71	Elon Musk invites you to his office to talk about Mars.	3	3	-3	0	-2	-1
72	We're about to raise series A funding. Where are those documents you promised?	-3	2	0	-1	-3	-3
73	We should get Toggl for tracking our time.	1	1	0	0	-2	-5
74	Our competitor just got a billion dollar valuation.	1	2	-3	0	1	-1
75	A former employee wrote a book bashing you and the company. Everybody's reading it!	-2	3	0	0	-2	-3
76	One of your employees has been living in the office because they can't pay rent.	0	3	-3	0	-4	-1
77	Your developers want to bring go-go dancers to a conference event we're hosting.	0	-3	-1	-2	3	-1
78	We really should start saving money, what should we do?	0	-4	-1	0	-2	-2
79	Chad just sent a racist email to 5,000 contacts.	-1	-3	-1	-4	5	-2
80	One of your ex-employees went to the press saying you spend all your days googling yourself.	-1	0	-1	0	0	-4
